beaker_tare_set,beaker_number,beaker_empty_mass
2020-06-01,1,19.709
2020-06-01,2,19.731
2020-06-01,3,19.734
2020-06-01,4,19.737
2020-06-01,5,19.728
2020-06-01,6,19.727
2020-06-01,7,19.726
2020-06-01,8,19.723
2020-06-01,9,19.734
2020-06-01,10,19.731
2020-06-01,11,19.723
2020-06-01,12,19.723
2020-06-01,13,19.727
2020-06-01,14,19.726
2020-06-01,15,19.733
2020-06-01,16,19.732
2020-06-01,17,19.729
2020-06-01,18,19.734
2020-06-01,19,19.734
2020-06-01,20,19.736
2020-06-01,21,19.728
2020-06-01,22,8.414
