tin_tare_set,tin_number,tin_tare
2020-05-24,1,7.162
2020-05-24,2,7.231
2020-05-24,3,7.192
2020-05-24,4,7.115
2020-05-24,5,7.266
2020-05-24,6,7.25
2020-05-24,7,7.281
2020-05-24,8,7.066
2020-05-24,9,7.184
2020-05-24,10,7.221
2020-05-24,11,7.181
2020-05-24,12,7.091
2020-05-24,13,7.148
2020-05-24,14,7.248
2020-05-24,15,7.264
2020-05-24,16,7.223
2020-05-24,17,7.198
2020-05-24,18,7.162
2020-05-24,19,7.213
2020-05-24,20,7.234
2020-05-24,21,7.249
2020-05-24,22,7.182
2020-05-24,23,7.25
2020-05-24,24,7.165
2020-05-24,25,7.127
2020-05-24,26,7.285
2020-05-24,27,7.232
2020-05-24,28,7.097
2020-05-24,29,7.097
2020-05-24,30,7.056
2020-05-24,31,7.214
2020-05-24,32,7.204
2020-05-24,33,7.166
2020-05-24,34,7.157
2020-05-24,35,7.246
2020-05-24,36,7.179
2020-05-24,37,7.182
2020-05-24,38,7.151
2020-05-24,39,7.211
2020-05-24,40,7.299
2020-05-24,41,7.242
2020-05-24,42,7.053
2020-05-24,43,7.25
2020-05-24,44,7.199
2020-05-24,45,7.117
2020-05-24,46,7.311
2020-05-24,47,14.118
2020-05-24,48,13.8
2020-05-24,49,13.943
2020-05-24,50,14.195
2020-05-24,51,14.115
2020-05-24,52,13.945
2020-05-24,53,14.259
2020-05-24,54,14.06
2020-05-24,55,14.034
2020-05-24,56,14.029
2020-05-24,57,14.225
2020-05-24,58,14.044
2020-05-24,59,14.215
2020-05-24,60,14.167
2020-05-24,61,13.913
2020-05-24,62,13.936
2020-05-24,63,13.963
2020-05-24,64,14.05
2020-05-24,65,14.009
2020-05-24,66,14.187
2020-05-24,67,14.076
2020-05-24,68,14.22
2020-05-24,69,13.926
2020-05-24,70,14.177
2020-05-24,71,14.023
2020-05-24,72,14.261
2020-05-24,73,13.889
2020-05-24,74,14.113
2020-05-24,75,14.064
2020-05-24,76,14.196
2020-05-24,77,14.155
2020-05-24,78,13.815
2020-05-24,79,14.075
2020-05-24,80,14.144
2020-05-24,81,14.265
2020-05-24,82,14.244
2020-05-24,83,13.941
2020-05-24,84,14.165
2020-05-24,85,14.269
2020-05-24,86,13.931
2020-05-24,87,13.972
2020-05-24,88,13.814
2020-05-24,89,14.222
2020-05-24,90,13.905
2020-05-24,91,14.069
2020-05-24,92,13.856
2020-05-24,93,1.291
2020-05-24,94,1.284
2020-05-24,95,1.293
2020-05-24,96,1.29
2020-05-24,97,1.292
2020-05-24,98,1.296
2020-05-24,99,1.291
2020-05-24,100,1.289
2020-05-24,101,1.287
2020-05-24,102,1.289
2020-05-24,103,1.29
2020-05-24,104,1.289
2020-05-24,105,1.295
2020-05-24,106,1.287
2020-05-24,107,1.283
2020-05-24,108,1.293
2020-05-24,109,1.282
2020-05-24,110,1.287
2020-05-24,111,1.287
2020-05-24,112,1.285
2020-05-24,113,1.295
2020-05-24,114,1.287
2020-05-24,115,1.281
2020-05-24,116,17.417
2020-05-24,117,19.549
2020-05-24,118,14.247
2020-05-24,119,18.213
2020-05-24,120,16.791
2020-05-24,121,12.616
2020-05-24,122,12.765
2020-05-24,123,12.42
