bouyoucos_cylinder_number,calibration_date,volume_mL,area_cm2,diameter_cm,ht_to_1000_mL_mark_cm,calculated_volume_mL
1,2019-05-19,1000,26.1,5.77,37.6,984
2,2019-05-19,1000,27.2,5.89,35.7,973
3,2019-05-19,1000,27.9,5.96,35.2,983
4,2019-05-19,1000,27.9,5.96,34.9,974
5,2019-05-19,1000,28.1,5.98,35.2,990
6,2019-05-19,1000,27.4,5.91,35.9,984
7,2019-05-19,1000,26.4,5.8,36.8,973
8,2019-05-19,1000,26.6,5.82,36.7,976
9,2019-05-19,1000,26.7,5.83,36.8,983
10,2019-05-19,1000,26.8,5.84,36.4,974
11,2019-05-19,1000,28.3,6,34.8,983
12,2019-05-19,1000,33.8,6.56,29.1,982
