tin_tare_set,tin_number,tin_tare
2022-11-27,701,2.68
2022-11-27,702,2.66
2022-11-27,703,2.68
2022-11-27,704,2.7
2022-11-27,705,2.67
2022-11-27,706,2.65
2022-11-27,707,2.7
2022-11-27,708,2.69
2022-11-27,709,2.71
2022-11-27,710,2.72
2022-11-27,711,2.71
2022-11-27,712,2.67
2022-11-27,713,2.7
2022-11-27,714,2.74
2022-11-27,715,2.72
2022-11-27,716,2.72
2022-11-27,717,2.71
2022-11-27,718,2.74
2022-11-27,719,2.75
2022-11-27,720,2.75
2022-11-27,721,2.71
2022-11-27,736,2.73
2022-11-27,737,2.72
2022-11-27,738,2.72
2022-11-27,739,2.72
2022-11-27,740,2.75
2022-11-27,741,2.75
2022-11-27,742,2.74
2022-11-27,743,2.75
2022-11-27,744,2.72
2022-11-27,745,2.94
2022-11-27,746,2.93
2022-11-27,747,2.94
2022-11-27,748,2.97
2022-11-27,749,2.92
2022-11-27,750,2.89
2022-11-27,751,2.93
2022-11-27,752,2.94
2022-11-27,753,2.95
2022-11-27,754,2.97
2022-11-27,755,2.95
2022-11-27,756,2.93
2022-11-27,771,2.93
2022-11-27,772,2.9
2022-11-27,773,2.94
2022-11-27,774,2.9
2022-11-27,775,2.91
2022-11-27,776,2.91
2022-11-27,777,2.93
2022-11-27,778,2.95
2022-11-27,779,2.97
2022-11-27,780,2.98
2022-11-27,781,2.98
2022-11-27,782,2.94
2022-11-27,783,2.94
2022-11-27,784,2.92
2022-11-27,785,2.7
2022-11-27,786,2.73
2022-11-27,787,2.73
2022-11-27,788,2.69
2022-11-27,789,2.69
2022-11-27,790,2.7
2022-11-27,791,2.7
