bottle_set,bottle_number,replication,bottle_empty_mass,water_filled_mass,water_temp_c
2020-07-12,1,1,36.890,136.580,21.5
2020-07-12,1,2,36.890,136.700,21.5
2020-07-12,1,3,36.890,136.610,21.5
2020-07-12,2,1,34.340,134.090,21.5
2020-07-12,2,2,34.340,134.140,21.5
2020-07-12,2,3,34.340,134.170,21.5
2020-07-12,3,1,44.940,144.640,21.5
2020-07-12,3,2,44.940,144.670,21.5
2020-07-12,3,3,44.940,144.610,21.5
2020-07-12,4,1,41.394,141.135,21.8
2020-07-12,4,2,41.394,141.208,21.8
2020-07-12,4,3,41.394,141.227,21.8
2020-07-12,5,1,35.633,135.418,21.8
2020-07-12,5,2,35.633,135.389,21.8
2020-07-12,5,3,35.633,135.411,21.8
2020-07-12,6,1,39.604,139.449,21.8
2020-07-12,6,2,39.604,139.483,21.8
2020-07-12,6,3,39.604,139.536,21.8
2020-07-12,7,1,63.351,163.136,21.8
2020-07-12,7,2,63.351,163.125,21.8
2020-07-12,7,3,63.351,163.099,21.8
2020-07-12,8,1,54.966,154.773,21.8
2020-07-12,8,2,54.966,154.774,21.8
2020-07-12,8,3,54.966,154.805,21.8
2020-07-12,9,1,63.074,162.899,21.8
2020-07-12,9,2,63.074,162.899,21.8
2020-07-12,9,3,63.074,162.922,21.8
2020-07-12,10,1,30.516,130.258,21.8
2020-07-12,10,2,30.516,130.225,21.8
2020-07-12,10,3,30.516,130.261,21.8
2020-07-12,11,1,62.971,162.650,21.8
2020-07-12,11,2,62.971,162.653,21.8
2020-07-12,11,3,62.971,162.624,21.8
2020-07-12,12,1,41.603,141.544,21.8
2020-07-12,12,2,41.603,141.584,21.8
2020-07-12,12,3,41.603,141.531,21.8
