beaker_number,beaker_empty_mass
1,49.269
2,50.756
3,50.34
4,50.964
5,51.276
6,49.135
7,48.684
8,50.681
9,50.468
10,49.654
11,49.233
12,50.414
13,48.956
14,49.66
15,49.112
16,48.846
17,50.841
18,48.232
19,49.209
20,50.93
21,50.017
22,49.477
23,48.69
24,49.168
25,49.348
26,47.988
27,51.271
28,50.593
29,49.465
30,50.41
31,49.501
32,51.872
33,50.552
34,49.763
35,48.2
36,49.769
37,50.126
38,47.747
39,49.297
40,48.246
41,52.317
42,50.066
43,49.297
44,51.28
45,49.816
46,51.49
47,51.11
48,48.847
49,48.876
50,50.604
51,50.109
52,50.216
53,50.257
54,50.034
55,49.558
56,49.287
57,49.232
58,48.419
59,49.3
60,48.33
61,49.226
62,48.582
63,50.192
64,48.965
65,49.19
66,49.459
67,49.945
68,49.482
69,48.865
70,49.337
71,50.679
72,49.862
73,49.222
74,49.862
75,50.436
76,50.638
77,48.718
78,49.278
79,50.652
80,50.546
81,49.169
82,49.721
83,49.073
84,49.099
85,48.463
86,49.491
87,50.248
88,49.407
89,49.513
90,50.158
91,49.186
92,49.301
93,49.701
94,49.025
95,49.965
96,50.074
97,62.245
98,68.882
99,65.982
100,67.519
101,49.284
102,70.897
103,69.571
104,107.077
