tin_number,tin_tare
1,1.093
2,1.111
3,1.101
4,1.098
5,1.101
6,1.092
7,1.102
8,1.114
9,1.080
10,1.083
11,1.116
12,1.110
13,1.115
14,1.098
15,1.080
16,1.099
17,1.098
18,1.086
19,1.104
20,1.107
21,1.108
22,1.091
23,1.102
24,1.104
25,1.102
26,1.081
27,1.094
28,1.104
29,1.097
30,1.085
31,1.091
32,1.091
33,1.108
34,1.096
35,1.116
36,1.105
37,1.105
38,1.105
39,1.103
40,1.098
41,1.098
42,1.101
43,1.094
44,1.096
45,1.105
46,1.100
47,1.111
48,1.106
49,1.098
50,1.097
51,1.092
52,1.101
53,1.103
54,1.088
55,1.088
56,1.100
57,1.097
58,1.105
59,1.099
60,1.096
61,1.090
62,1.106
63,1.099
64,1.098
65,1.095
66,1.099
67,1.108
68,1.098
69,1.101
70,1.110
71,1.095
72,1.106
73,1.098
74,1.097
75,1.115
76,1.101
77,1.090
78,1.099
79,1.086
80,1.088
81,1.096
82,1.093
83,1.108
84,1.093
85,1.091
86,1.098
87,1.083
88,1.093
89,1.096
90,1.100
91,1.095
92,1.096
93,1.085
94,1.091
95,1.101
96,1.109
97,1.094
98,1.112
99,1.100
100,1.090
101,1.096
102,1.088
103,1.094
104,1.102
105,1.103
106,1.102
107,1.099
108,1.101
109,1.103
110,1.098
111,1.094
112,1.104
113,1.083
114,1.087
115,1.092
116,1.110
117,1.095
118,1.091
119,1.093
120,1.101
121,1.097
122,1.092
123,1.084
124,1.104
125,1.109
126,1.091
127,1.093
128,1.092
129,1.099
130,1.106
131,1.112
132,1.102
133,1.108
134,1.103
135,1.100
136,1.104
137,1.090
138,1.102
139,1.095
140,1.094
141,1.109
142,1.106
143,1.102
144,1.113
145,1.113
146,1.104
147,1.103
148,1.095
149,1.100
150,1.091
151,1.091
152,1.094
153,1.095
154,1.101
155,1.108
156,1.109
157,1.106
158,1.107
159,1.090
160,1.093
161,1.099
162,1.103
163,1.101
164,1.096
165,1.092
166,1.100
167,1.107
168,1.105
169,1.097
170,1.109
171,1.105
172,1.089
173,1.099
174,1.096
175,1.090
176,1.095
177,1.103
178,1.094
179,1.096
180,1.106
181,1.108
182,1.088
183,1.097
184,1.093
185,1.093
186,1.079
187,1.084
188,1.109
189,1.089
190,1.097
191,1.102
192,1.105
193,1.094
194,1.104
195,1.107
196,1.106
197,1.082
198,1.084
199,1.090
200,1.093
201,1.090
